Solvent,Temperature_K,Density_g/cm^3,Source
ethanol,293.15,0.78975,10.1016/j.jct.2007.05.004
ethanol,298.15,0.78546,10.1016/j.jct.2007.05.004
ethanol,303.15,0.78115,10.1016/j.jct.2007.05.004
ethanol,303.15,0.781,10.1016/j.molliq.2023.121923
ethanol,308.15,0.7767,10.1016/j.molliq.2023.121923
ethanol,313.15,0.7723,10.1016/j.molliq.2023.121923
ethanol,318.15,0.7679,10.1016/j.molliq.2023.121923
ethanol,323.15,0.7634,10.1016/j.molliq.2023.121923
ethanol,293.15,0.78975,10.1021/je0342825
ethanol,298.15,0.78546,10.1021/je0342825
ethanol,303.15,0.78115,10.1021/je0342825
ethanol,293.15,0.7897,10.1021/je050416y
ethanol,298.15,0.7853,10.1021/je050416y
ethanol,303.15,0.7809,10.1021/je050416y
ethanol,308.15,0.7765,10.1021/je050416y
ethanol,313.15,0.7722,10.1021/je050416y
ethanol,283.15,0.7976,10.1016/j.jct.2009.06.023
ethanol,288.15,0.7933,10.1016/j.jct.2009.06.023
ethanol,293.15,0.789,10.1016/j.jct.2009.06.023
ethanol,298.15,0.7855,10.1016/j.jct.2009.06.023
ethanol,303.15,0.7803,10.1016/j.jct.2009.06.023
ethanol,308.15,0.776,10.1016/j.jct.2009.06.023
ethanol,313.15,0.772,10.1016/j.jct.2009.06.023
ethanol,318.15,0.7674,10.1016/j.jct.2009.06.023
ethanol,323.15,0.763,10.1016/j.jct.2009.06.023
ethanol,328.15,0.7586,10.1016/j.jct.2009.06.023
ethanol,333.15,0.7544,10.1016/j.jct.2009.06.023
Methanol,283.15,0.80037,"NIST Chemistry WebBook, SRD 69"
Methanol,284.15,0.79943,"NIST Chemistry WebBook, SRD 69"
Methanol,285.15,0.79850,"NIST Chemistry WebBook, SRD 69"
Methanol,286.15,0.79756,"NIST Chemistry WebBook, SRD 69"
Methanol,287.15,0.79663,"NIST Chemistry WebBook, SRD 69"
Methanol,288.15,0.79569,"NIST Chemistry WebBook, SRD 69"
Methanol,289.15,0.79476,"NIST Chemistry WebBook, SRD 69"
Methanol,290.15,0.79382,"NIST Chemistry WebBook, SRD 69"
Methanol,291.15,0.79288,"NIST Chemistry WebBook, SRD 69"
Methanol,292.15,0.79195,"NIST Chemistry WebBook, SRD 69"
Methanol,293.15,0.79101,"NIST Chemistry WebBook, SRD 69"
Methanol,294.15,0.79008,"NIST Chemistry WebBook, SRD 69"
Methanol,295.15,0.78914,"NIST Chemistry WebBook, SRD 69"
Methanol,296.15,0.78820,"NIST Chemistry WebBook, SRD 69"
Methanol,297.15,0.78726,"NIST Chemistry WebBook, SRD 69"
Methanol,298.15,0.78633,"NIST Chemistry WebBook, SRD 69"
Methanol,299.15,0.78539,"NIST Chemistry WebBook, SRD 69"
Methanol,300.15,0.78445,"NIST Chemistry WebBook, SRD 69"
Methanol,301.15,0.78351,"NIST Chemistry WebBook, SRD 69"
Methanol,302.15,0.78257,"NIST Chemistry WebBook, SRD 69"
Methanol,303.15,0.78163,"NIST Chemistry WebBook, SRD 69"
Methanol,304.15,0.78069,"NIST Chemistry WebBook, SRD 69"
Methanol,305.15,0.77974,"NIST Chemistry WebBook, SRD 69"
Methanol,306.15,0.77880,"NIST Chemistry WebBook, SRD 69"
Methanol,307.15,0.77786,"NIST Chemistry WebBook, SRD 69"
Methanol,308.15,0.77691,"NIST Chemistry WebBook, SRD 69"
Methanol,309.15,0.77596,"NIST Chemistry WebBook, SRD 69"
Methanol,310.15,0.77502,"NIST Chemistry WebBook, SRD 69"
Methanol,311.15,0.77407,"NIST Chemistry WebBook, SRD 69"
Methanol,312.15,0.77312,"NIST Chemistry WebBook, SRD 69"
Methanol,313.15,0.77217,"NIST Chemistry WebBook, SRD 69"
Methanol,314.15,0.77122,"NIST Chemistry WebBook, SRD 69"
Methanol,315.15,0.77026,"NIST Chemistry WebBook, SRD 69"
Methanol,316.15,0.76931,"NIST Chemistry WebBook, SRD 69"
Methanol,317.15,0.76835,"NIST Chemistry WebBook, SRD 69"
Methanol,318.15,0.76739,"NIST Chemistry WebBook, SRD 69"
Methanol,319.15,0.76644,"NIST Chemistry WebBook, SRD 69"
Methanol,320.15,0.76547,"NIST Chemistry WebBook, SRD 69"
Methanol,321.15,0.76451,"NIST Chemistry WebBook, SRD 69"
Methanol,322.15,0.76355,"NIST Chemistry WebBook, SRD 69"
Methanol,323.15,0.76258,"NIST Chemistry WebBook, SRD 69"
Methanol,324.15,0.76161,"NIST Chemistry WebBook, SRD 69"
Methanol,325.15,0.76065,"NIST Chemistry WebBook, SRD 69"
Methanol,326.15,0.75967,"NIST Chemistry WebBook, SRD 69"
Methanol,327.15,0.75870,"NIST Chemistry WebBook, SRD 69"
Methanol,328.15,0.75772,"NIST Chemistry WebBook, SRD 69"
Toluene,283.15,0.87617,"NIST Chemistry WebBook, SRD 69"
Toluene,284.15,0.87524,"NIST Chemistry WebBook, SRD 69"
Toluene,285.15,0.87432,"NIST Chemistry WebBook, SRD 69"
Toluene,286.15,0.87339,"NIST Chemistry WebBook, SRD 69"
Toluene,287.15,0.87246,"NIST Chemistry WebBook, SRD 69"
Toluene,288.15,0.87153,"NIST Chemistry WebBook, SRD 69"
Toluene,289.15,0.87061,"NIST Chemistry WebBook, SRD 69"
Toluene,290.15,0.86968,"NIST Chemistry WebBook, SRD 69"
Toluene,291.15,0.86875,"NIST Chemistry WebBook, SRD 69"
Toluene,292.15,0.86782,"NIST Chemistry WebBook, SRD 69"
Toluene,293.15,0.86689,"NIST Chemistry WebBook, SRD 69"
Toluene,294.15,0.86596,"NIST Chemistry WebBook, SRD 69"
Toluene,295.15,0.86503,"NIST Chemistry WebBook, SRD 69"
Toluene,296.15,0.86410,"NIST Chemistry WebBook, SRD 69"
Toluene,297.15,0.86317,"NIST Chemistry WebBook, SRD 69"
Toluene,298.15,0.86224,"NIST Chemistry WebBook, SRD 69"
Toluene,299.15,0.86131,"NIST Chemistry WebBook, SRD 69"
Toluene,300.15,0.86037,"NIST Chemistry WebBook, SRD 69"
Toluene,301.15,0.85944,"NIST Chemistry WebBook, SRD 69"
Toluene,302.15,0.85851,"NIST Chemistry WebBook, SRD 69"
Toluene,303.15,0.85757,"NIST Chemistry WebBook, SRD 69"
Toluene,304.15,0.85664,"NIST Chemistry WebBook, SRD 69"
Toluene,305.15,0.85570,"NIST Chemistry WebBook, SRD 69"
Toluene,306.15,0.85477,"NIST Chemistry WebBook, SRD 69"
Toluene,307.15,0.85383,"NIST Chemistry WebBook, SRD 69"
Toluene,308.15,0.85289,"NIST Chemistry WebBook, SRD 69"
Toluene,309.15,0.85196,"NIST Chemistry WebBook, SRD 69"
Toluene,310.15,0.85102,"NIST Chemistry WebBook, SRD 69"
Toluene,311.15,0.85008,"NIST Chemistry WebBook, SRD 69"
Toluene,312.15,0.84914,"NIST Chemistry WebBook, SRD 69"
Toluene,313.15,0.84820,"NIST Chemistry WebBook, SRD 69"
Toluene,314.15,0.84726,"NIST Chemistry WebBook, SRD 69"
Toluene,315.15,0.84632,"NIST Chemistry WebBook, SRD 69"
Toluene,316.15,0.84537,"NIST Chemistry WebBook, SRD 69"
Toluene,317.15,0.84443,"NIST Chemistry WebBook, SRD 69"
Toluene,318.15,0.84349,"NIST Chemistry WebBook, SRD 69"
Toluene,319.15,0.84254,"NIST Chemistry WebBook, SRD 69"
Toluene,320.15,0.84160,"NIST Chemistry WebBook, SRD 69"
Toluene,321.15,0.84065,"NIST Chemistry WebBook, SRD 69"
Toluene,322.15,0.83970,"NIST Chemistry WebBook, SRD 69"
Toluene,323.15,0.83876,"NIST Chemistry WebBook, SRD 69"
Toluene,324.15,0.83781,"NIST Chemistry WebBook, SRD 69"
Toluene,325.15,0.83686,"NIST Chemistry WebBook, SRD 69"
Toluene,326.15,0.83591,"NIST Chemistry WebBook, SRD 69"
Toluene,327.15,0.83496,"NIST Chemistry WebBook, SRD 69"
Toluene,328.15,0.83400,"NIST Chemistry WebBook, SRD 69"
Benzene,283.15,0.88938,"NIST Chemistry WebBook, SRD 69"
Benzene,284.15,0.88834,"NIST Chemistry WebBook, SRD 69"
Benzene,285.15,0.88729,"NIST Chemistry WebBook, SRD 69"
Benzene,286.15,0.88625,"NIST Chemistry WebBook, SRD 69"
Benzene,287.15,0.88520,"NIST Chemistry WebBook, SRD 69"
Benzene,288.15,0.88416,"NIST Chemistry WebBook, SRD 69"
Benzene,289.15,0.88311,"NIST Chemistry WebBook, SRD 69"
Benzene,290.15,0.88206,"NIST Chemistry WebBook, SRD 69"
Benzene,291.15,0.88101,"NIST Chemistry WebBook, SRD 69"
Benzene,292.15,0.87997,"NIST Chemistry WebBook, SRD 69"
Benzene,293.15,0.87892,"NIST Chemistry WebBook, SRD 69"
Benzene,294.15,0.87787,"NIST Chemistry WebBook, SRD 69"
Benzene,295.15,0.87682,"NIST Chemistry WebBook, SRD 69"
Benzene,296.15,0.87577,"NIST Chemistry WebBook, SRD 69"
Benzene,297.15,0.87471,"NIST Chemistry WebBook, SRD 69"
Benzene,298.15,0.87366,"NIST Chemistry WebBook, SRD 69"
Benzene,299.15,0.87261,"NIST Chemistry WebBook, SRD 69"
Benzene,300.15,0.87155,"NIST Chemistry WebBook, SRD 69"
Benzene,301.15,0.87050,"NIST Chemistry WebBook, SRD 69"
Benzene,302.15,0.86944,"NIST Chemistry WebBook, SRD 69"
Benzene,303.15,0.86838,"NIST Chemistry WebBook, SRD 69"
Benzene,304.15,0.86733,"NIST Chemistry WebBook, SRD 69"
Benzene,305.15,0.86627,"NIST Chemistry WebBook, SRD 69"
Benzene,306.15,0.86521,"NIST Chemistry WebBook, SRD 69"
Benzene,307.15,0.86415,"NIST Chemistry WebBook, SRD 69"
Benzene,308.15,0.86309,"NIST Chemistry WebBook, SRD 69"
Benzene,309.15,0.86202,"NIST Chemistry WebBook, SRD 69"
Benzene,310.15,0.86096,"NIST Chemistry WebBook, SRD 69"
Benzene,311.15,0.85989,"NIST Chemistry WebBook, SRD 69"
Benzene,312.15,0.85883,"NIST Chemistry WebBook, SRD 69"
Benzene,313.15,0.85776,"NIST Chemistry WebBook, SRD 69"
Benzene,314.15,0.85669,"NIST Chemistry WebBook, SRD 69"
Benzene,315.15,0.85562,"NIST Chemistry WebBook, SRD 69"
Benzene,316.15,0.85455,"NIST Chemistry WebBook, SRD 69"
Benzene,317.15,0.85348,"NIST Chemistry WebBook, SRD 69"
Benzene,318.15,0.85241,"NIST Chemistry WebBook, SRD 69"
Benzene,319.15,0.85134,"NIST Chemistry WebBook, SRD 69"
Benzene,320.15,0.85026,"NIST Chemistry WebBook, SRD 69"
Benzene,321.15,0.84919,"NIST Chemistry WebBook, SRD 69"
Benzene,322.15,0.84811,"NIST Chemistry WebBook, SRD 69"
Benzene,323.15,0.84703,"NIST Chemistry WebBook, SRD 69"
Benzene,324.15,0.84595,"NIST Chemistry WebBook, SRD 69"
Benzene,325.15,0.84487,"NIST Chemistry WebBook, SRD 69"
Benzene,326.15,0.84379,"NIST Chemistry WebBook, SRD 69"
Benzene,327.15,0.84270,"NIST Chemistry WebBook, SRD 69"
Benzene,328.15,0.84162,"NIST Chemistry WebBook, SRD 69"
n-Heptane,283.15,0.69227,"NIST Chemistry WebBook, SRD 69"
n-Heptane,284.15,0.69143,"NIST Chemistry WebBook, SRD 69"
n-Heptane,285.15,0.69059,"NIST Chemistry WebBook, SRD 69"
n-Heptane,286.15,0.68975,"NIST Chemistry WebBook, SRD 69"
n-Heptane,287.15,0.68891,"NIST Chemistry WebBook, SRD 69"
n-Heptane,288.15,0.68807,"NIST Chemistry WebBook, SRD 69"
n-Heptane,289.15,0.68722,"NIST Chemistry WebBook, SRD 69"
n-Heptane,290.15,0.68638,"NIST Chemistry WebBook, SRD 69"
n-Heptane,291.15,0.68554,"NIST Chemistry WebBook, SRD 69"
n-Heptane,292.15,0.68469,"NIST Chemistry WebBook, SRD 69"
n-Heptane,293.15,0.68385,"NIST Chemistry WebBook, SRD 69"
n-Heptane,294.15,0.68300,"NIST Chemistry WebBook, SRD 69"
n-Heptane,295.15,0.68215,"NIST Chemistry WebBook, SRD 69"
n-Heptane,296.15,0.68131,"NIST Chemistry WebBook, SRD 69"
n-Heptane,297.15,0.68046,"NIST Chemistry WebBook, SRD 69"
n-Heptane,298.15,0.67961,"NIST Chemistry WebBook, SRD 69"
n-Heptane,299.15,0.67876,"NIST Chemistry WebBook, SRD 69"
n-Heptane,300.15,0.67791,"NIST Chemistry WebBook, SRD 69"
n-Heptane,301.15,0.67705,"NIST Chemistry WebBook, SRD 69"
n-Heptane,302.15,0.67620,"NIST Chemistry WebBook, SRD 69"
n-Heptane,303.15,0.67535,"NIST Chemistry WebBook, SRD 69"
n-Heptane,304.15,0.67449,"NIST Chemistry WebBook, SRD 69"
n-Heptane,305.15,0.67363,"NIST Chemistry WebBook, SRD 69"
n-Heptane,306.15,0.67278,"NIST Chemistry WebBook, SRD 69"
n-Heptane,307.15,0.67192,"NIST Chemistry WebBook, SRD 69"
n-Heptane,308.15,0.67106,"NIST Chemistry WebBook, SRD 69"
n-Heptane,309.15,0.67020,"NIST Chemistry WebBook, SRD 69"
n-Heptane,310.15,0.66934,"NIST Chemistry WebBook, SRD 69"
n-Heptane,311.15,0.66847,"NIST Chemistry WebBook, SRD 69"
n-Heptane,312.15,0.66761,"NIST Chemistry WebBook, SRD 69"
n-Heptane,313.15,0.66675,"NIST Chemistry WebBook, SRD 69"
